Identifier,Date of Publication
409958,1890
410264,1849
410593,1893
410922,1895
410927,1891
411385,1852
411388,
411436,1869
411448,
411490,
411664,
411702,1871
413142,
413669,1896
413671,1899
413730,1872
414292,1866
414293,1873
414540,1897
414671,1886
414673,1893
414749,1851
414750,1850
415580,1886
415605,1845
415734,1869
417337,1876
418006,1898
419897,1896
419927,1896
419930,
420310,1825
420767,
421107,1882
421710,1890
423348,1810
425305,1868
425635,1871
427025,1829
427108,1773
427760,1894
427781,1826
428924,1890
429312,1875
429755,1885
432473,
433014,1891
433024,
433666,
433881,1896
434011,1896
434723,1787
434725,1788
435475,1890
435476,1891
435826,1893
436825,1870
436838,1830
437049,1883
437801,1882
437826,1898
437839,1891
438325,1873
438428,1816
438788,1889
439200,1814
439737,1607
440284,1889
440811,1865
441194,
441388,1892
441552,1870
441602,1861
441740,
442683,1893
443679,1826
443745,1890
444614,1854
446325,1890
446370,1873
446713,
447183,
447778,
447869,1808
447900,1856
447921,1879
448390,1894
450828,1899
450842,1879
451932,1893
451933,1882
451934,1884
453317,1847
453596,1868
453632,1854
453763,1898
453764,1898
453766,
453767,
454205,1856
455431,1886
455604,1869
455605,1871
455624,1896
455625,1895
455971,
456580,1885
456581,1886
456583,1889
456589,1878
456596,
456612,1895
456828,1878
458428,
458722,1833
458859,1894
459444,1819
459450,
459452,1850
461165,
462545,1873
462553,1884
464267,1861
465037,1884
466074,1880
466604,1886
467995,1875
468455,1825
468457,1821
469181,1864
469995,1852
470940,1889
471459,1884
472143,1888
472190,1863
473189,1883
473676,1796
473757,
474227,1882
474877,1899
474959,1860
475428,1899
477102,1833
477119,1843
477151,1898
478468,1828
478513,1811
478741,1881
478742,1882
479757,1801
479762,
480249,1881
481742,1871
481743,1867
482444,1867
482571,1876
483421,1899
483778,1883
483791,1896
483800,1878
483801,
484318,1657
484355,1877
485594,1897
485595,
485597,
486471,1792
486597,1842
486800,1890
487139,1827
487140,1831
487141,1842
487144,1851
487145,1876
487146,1853
487148,1857
487150,1863
487152,1869
487642,
488058,1894
489037,1863
489089,1858
489301,1861
489320,1883
489354,1858
490123,1801
490330,1891
490401,1813
490558,1891
490816,1838
490845,1868
491007,1874
491916,1878
492873,1879
494007,1858
494008,1860
494274,1890
496109,1841
496315,1869
496625,1840
497661,1895
497767,1850
497908,1876
497989,1882
499209,1883
499211,
499212,1885
499225,1897
499228,1898
499229,1898
499230,1898
499317,1894
499453,1884
499488,
499531,
499651,1896
499985,1890
500220,1837
500565,1873
500586,1846
501775,1844
503569,1788
503956,1852
505202,1899
507246,1824
509331,1887
509447,1831
509448,
509449,1855
509450,
509451,1822
509452,1834
509473,1898
509978,1875
510545,1895
510824,1876
510841,1878
510959,
510960,1880
511978,1799
513142,1899
513239,1809
513328,1827
513329,1827
513330,1829
513331,1855
513488,1885
513698,1868
513727,1895
514832,1834
514912,1848
515955,1635
516336,112.
516667,1823
516690,1844
516899,1858
516971,1865
516973,1868
516975,1897
518035,1856
518265,1865
519957,1890
520187,1844
521670,1886
521745,1875
522117,1892
523128,1864
526739,1841
528018,
528213,1896
528643,
528644,
528728,1873
528742,1897
528804,1897
528848,
528861,
528866,1876
528942,1852
529537,
529673,1853
530371,
533680,1829
534268,1880
534555,
534576,1854
535035,1863
535335,1823
536361,
537361,1803
537677,1893
537705,1873
538220,
539796,1839
539863,1865
540037,1876
540086,1827
540543,1886
540701,1897
540702,
540703,
543153,1801
543155,1803
543164,1820
543169,1835
543172,
543186,1855
543198,1877
543200,
543202,
543203,
543204,1891
543205,1896
543226,1811
543273,1856
543298,
543308,
543312,
543314,
543317,
543325,1889
543330,
543344,1896
543346,1896
543353,1898
543445,1892
543460,1840
543609,1829.
543675,1896.
543827,1899
543926,1856
544509,1893
546922,1800
547384,1810
547447,1898
547450,1894
547459,1862
547475,1879
547496,1872
548661,
550576,1843
550805,1828
550808,1896
550809,1842
550828,1854
551511,1803
551667,1800
552506,1858
552737,1837
553105,1851
553107,1862
553248,1854
553265,1759
553266,1827
553361,1835
553383,1798
554538,1876
554705,1827
555155,1865
555389,1895
556293,1898
556393,1850
556782,1863
556947,
557204,1866
557645,1826
557665,1825
557686,1842
557687,1845
557691,
557697,1859
557711,1869
557712,1870
557721,
557730,1887
557755,1823
557756,1830
557757,1836
557758,1842
557759,1845
557783,1816
557851,1886
557933,1866
557942,1834
558071,1823
558105,1872
558131,1854
558153,1836
558159,1857
558185,1819
558263,1863
558277,
558284,1809
558328,1886
558361,1815
558397,1818
558442,1852
558451,1864
558479,1896
558519,
558562,1872
558609,
558610,1836
558616,1816
558617,1816
558618,1817
558651,
558661,1833
558674,1882
558675,1885
558768,1884
558969,
559185,1842
559251,1853
559252,1860
559566,1865
559689,1683
559735,1870
559884,
560025,1819
560105,1830
560143,1856
560180,1887
560246,1851
560335,1875
560425,1874
560451,
560476,1788
560572,1862
560823,1895
560900,1896
560997,1868
561005,1842
561105,1846
561247,1899
561439,1819.
561560,1840
561581,1802
561686,1709
561696,
561699,1888
561729,1880
561979,1872
562483,1895
562560,1825
562582,1787
562758,1888
562883,1831
563652,1895
563905,1895
563909,1898
564359,1888
564746,1733
565327,1871
565433,1889
566275,1856
566867,1853
566903,1815
567214,1830
568334,1897
568631,1832
570346,1887
571275,
571802,1810
571829,1779
572064,1883
572245,1874
574721,1843
575020,1854
575255,
575680,1897
576035,1784
576363,1885
